id,birth_ym,gender,retirement_age,address,zipcode,per_capita_income_in_usd,yearly_income_in_usd,total_debt_id_usd,credit_score,num_credit_cards
825,1966-11-01,Female,66,462 Rose Lane,91750,29278,59696,127613,787,5
1746,1966-12-01,Female,68,3606 Federal Boulevard,11362,37891,77254,191349,701,5
1718,1938-11-01,Female,67,766 Third Drive,91792,22681,33483,196,698,5
708,1957-01-01,Female,63,3 Madison Street,10038,163145,249925,202328,722,4
1164,1976-09-01,Male,70,9620 Valley Stream Drive,94114,53797,109687,183855,675,1
68,1977-10-01,Male,70,58 Birch Lane,52804,20599,41997,0,704,3
1075,1983-12-01,Female,67,5695 Fifth Street,40217,25258,51500,102286,672,3
1711,1993-12-01,Male,67,1941 Ninth Street,97214,26790,54623,114711,728,1
1116,1938-07-01,Female,66,11 Spruce Avenue,18969,26273,42509,2895,755,5
1752,1986-01-01,Female,60,887 Grant Street,70510,18730,38190,81262,810,1
192,1992-06-01,Male,66,888 Fifth Lane,95628,27548,56164,15224,761,2
640,1990-09-01,Female,63,8677 Littlewood Lane,80634,22427,45727,94016,629,1
1679,2002-01-01,Female,67,829 Fourth Boulevard,02920,33914,69149,89214,776,1
1094,1985-10-01,Male,62,74786 Jefferson Drive,49686,20325,41442,78833,712,3
1590,1971-05-01,Female,62,781 East Street,78212,10059,20513,32509,599,1
1660,1978-04-01,Female,68,40 Washington Drive,73933,11342,23123,5079,723,6
1747,1966-01-01,Male,71,3994 Hillside Drive,75654,17898,36497,38333,719,6
429,1997-11-01,Male,68,8145 Spruce Boulevard,28274,26481,53995,89056,683,3
511,1953-10-01,Male,68,153 Tenth Lane,85711,17460,35602,55369,661,5
309,1991-08-01,Male,57,2473 Lake Avenue,31037,12321,25122,43205,819,3
777,2002-01-01,Male,65,970 Essex Drive,94028,106305,216740,0,700,2
1946,1943-06-01,Male,66,9186 Washington Avenue,44127,19524,41109,21486,698,2
1674,1949-04-01,Male,64,5073 Wessex Avenue,72386,14172,26858,11245,712,2
482,1975-01-01,Male,65,195 Eighth Boulevard,97502,17131,34929,63849,714,1
877,1983-08-01,Female,63,801 Mill Boulevard,85201,16829,34317,61826,610,3
128,1979-04-01,Female,66,6914 Wessex Avenue,77019,15389,31377,59615,722,2
775,1982-09-01,Male,58,776 Norfolk Boulevard,91411,21402,43638,104052,627,1
1536,1978-11-01,Male,67,2015 Bayview Avenue,38503,15955,32531,38260,766,2
140,1983-02-01,Female,72,108 Washington Street,37080,20657,42120,72801,739,4
1884,2001-05-01,Male,64,660 Seventh Drive,43201,28092,57281,89114,850,1
1874,1970-09-01,Male,66,7505 Tenth Boulevard,33130,18828,38390,87923,783,4
1310,1986-09-01,Female,69,4930 Birch Drive,28461,17498,35670,58182,751,2
1689,1998-09-01,Female,66,93 Plum Lane,06475,30281,61746,154817,637,2
34,1978-08-01,Male,55,7467 Spruce Drive,95829,25431,51854,72162,737,2
822,1968-04-01,Female,68,6323 Sussex Boulevard,91911,16942,34540,22641,793,5
1499,1973-11-01,Male,62,8738 Fourth Street,60133,20248,41287,88151,662,1
1780,1973-10-01,Male,70,9344 Mill Drive,93955,18663,38054,63293,666,1
1806,1961-02-01,Female,62,299 11th Street,01581,39418,80371,108499,822,1
811,1929-02-01,Female,68,5492 Maple Drive,66213,51642,84694,2149,741,7
1844,1941-02-01,Male,72,829 Birch Boulevard,78401,23608,37503,14272,706,5
1231,1994-01-01,Female,52,613 Little Creek Lane,34142,10819,22066,38967,842,1
970,1977-11-01,Male,66,1942 Rose Avenue,32127,21916,44681,42011,770,3
381,1994-02-01,Male,69,5101 Birch Lane,63043,25163,51306,68198,675,1
1134,2002-02-01,Female,59,7 11th Drive,78212,12677,25847,46379,568,1
1296,1959-11-01,Female,64,2468 Spruce Drive,32750,22896,46683,93126,788,5
1880,1958-11-01,Male,66,8001 Essex Boulevard,53208,15487,31579,52419,771,3
322,1972-10-01,Male,65,708 George Street,31730,13759,28055,12475,829,3
461,1977-12-01,Female,68,28 Hillside Boulevard,48188,32078,65403,80057,784,4
1165,1964-11-01,Female,73,446 Birch Drive,37766,13522,27572,59404,797,1
1448,1971-12-01,Female,70,578 Maple Avenue,29349,18899,38539,0,850,3
1288,1978-07-01,Female,57,14 Valley Drive,25159,18666,38059,68220,634,2
1178,1960-11-01,Female,68,2475 Little Creek Boulevard,78641,25872,52754,38191,693,5
1391,1975-02-01,Male,59,9604 Catherine Drive,11374,25109,51196,67164,631,4
838,1993-07-01,Male,70,349 First Drive,30318,24382,49713,91776,763,1
54,1998-04-01,Female,68,7914 Essex Boulevard,43606,21660,44160,134173,696,3
1452,1973-05-01,Female,59,524 Ocean Drive,77019,95039,193773,241571,660,1
1602,1979-02-01,Female,66,2079 Maple Drive,17066,14650,29864,44902,717,2
1938,1997-07-01,Male,67,295 Valley Drive,78212,28135,57367,115418,795,2
1492,1957-02-01,Female,58,2883 Ocean View Boulevard,98010,32697,56635,13015,786,8
688,1975-03-01,Male,67,5125 Elm Drive,84414,23165,47227,151030,760,4
749,1997-10-01,Male,68,4098 Park Drive,76102,12051,24574,80667,674,3
643,1991-01-01,Female,65,892 Spruce Street,11412,21283,43397,42168,697,2
1219,1991-06-01,Female,72,9977 Oak Avenue,21654,28497,58105,70254,688,3
1198,1937-06-01,Male,67,79 South Boulevard,78629,15092,10869,1820,820,2
898,1929-06-01,Female,66,145 River Drive,18103,12427,19893,1712,566,3
882,1956-08-01,Male,65,7605 Essex Boulevard,43050,18019,36743,71719,612,2
348,1970-07-01,Female,70,480 Seventh Lane,08619,22747,46377,79980,719,3
633,1983-10-01,Female,69,5506 Fifth Boulevard,90746,24611,50179,110515,743,1
1161,1996-12-01,Male,66,306 First Drive,32703,24155,49255,6557,823,2
217,1977-10-01,Male,65,272 Burns Boulevard,60501,15221,31031,21853,744,7
1877,1955-01-01,Male,66,190 Sixth Drive,75087,34659,70673,87605,714,4
533,1997-09-01,Male,65,385 Lexington Boulevard,79360,15183,30961,42597,677,1
203,1961-03-01,Female,67,407 Park Lane,29929,14864,30305,23392,776,3
1738,1989-03-01,Male,68,5142 Little Creek Street,73034,33736,68784,198417,696,4
713,1994-08-01,Female,71,224 Mountain View Boulevard,59901,17040,34745,26503,691,4
1631,2001-11-01,Female,67,4735 Fifth Avenue,70806,31741,64715,174664,740,3
1487,1961-02-01,Female,69,4793 North Street,16046,39464,80464,76261,727,3
1265,2002-02-01,Female,67,72 El Camino Boulevard,15203,24400,49748,23161,748,1
370,1958-11-01,Male,58,381 Fifth Lane,91764,16113,41904,12545,655,4
1014,1965-09-01,Female,70,393 Mountain View Lane,92657,96516,196784,437533,729,3
985,1987-06-01,Male,65,7276 Fourth Drive,48430,25334,51654,95454,600,4
135,1955-06-01,Female,69,327 Lafayette Boulevard,43130,18680,38088,51679,691,2
307,2001-08-01,Male,69,2846 Lake Avenue,70591,18082,36866,0,680,2
1783,1967-09-01,Male,70,2093 Ocean Street,94501,18443,37607,63689,749,5
1321,1970-10-01,Female,66,981 Fifth Boulevard,80701,16910,34480,58795,696,1
900,1983-07-01,Male,65,977 Littlewood Avenue,32401,16133,32896,69800,735,2
233,1982-12-01,Female,64,896 Rose Street,55404,23278,47464,83591,716,1
406,1996-05-01,Female,64,2418 Mill Drive,95129,41750,85128,108678,641,1
1069,1965-09-01,Male,69,3683 Fifth Street,28120,22487,45852,114746,615,2
180,1986-07-01,Female,67,0 Elm Street,85301,13024,26556,43042,840,2
996,1956-11-01,Female,67,2302 Catherine Lane,33020,19712,40194,107765,738,6
1866,1998-02-01,Male,67,213 Rose Drive,75062,30475,62135,75209,676,2
1981,1972-01-01,Male,65,8975 Littlewood Boulevard,33991,19274,39303,23650,702,7
870,1956-03-01,Female,64,1389 Park Lane,20601,35114,71593,132181,821,3
16,1944-12-01,Male,67,2890 Eighth Lane,60153,15451,22158,19101,681,5
46,1957-06-01,Male,66,20 Littlewood Boulevard,11414,26481,53996,98211,632,4
800,1991-10-01,Female,73,6413 Second Street,32503,12766,26025,23971,723,4
1968,1994-11-01,Female,69,611 Elm Lane,10701,31299,63816,100128,775,1
697,1964-01-01,Female,73,889 Martin Luther King Avenue,27502,32485,66230,90248,742,3
1269,1963-10-01,Male,56,336 Rose Avenue,60608,25365,36335,28929,676,2
1782,1961-02-01,Female,61,4254 Plum Lane,92655,19438,39633,58586,777,3
1977,1976-08-01,Female,69,825 Sussex Avenue,46311,28048,57185,0,773,3
1734,1982-11-01,Male,69,185 Forest Drive,30060,40530,82637,84762,739,2
1913,1960-01-01,Female,57,561 Martin Luther King Avenue,48375,34259,31121,32768,619,5
858,1972-11-01,Male,67,335 Valley Stream Boulevard,78629,15092,30774,51428,700,3
606,1971-12-01,Male,67,1773 Hill Street,62565,16300,33236,57549,747,1
1564,1984-10-01,Male,65,55 Ocean View Street,79014,18613,37947,49951,683,3
1109,1995-11-01,Male,65,8245 El Camino Lane,67202,21518,43875,128146,639,1
1301,1993-05-01,Female,66,9530 Washington Street,94947,30335,61850,81158,728,9
1399,1991-05-01,Male,71,221 Lexington Avenue,31401,19770,40314,131348,707,4
1775,1993-08-01,Male,67,2484 Norfolk Drive,19963,18622,37968,55982,788,3
1673,1978-11-01,Male,67,133 Grant Lane,49412,17145,34954,45456,772,3
1957,1979-09-01,Male,74,1977 Lake Avenue,91364,47055,95945,222735,772,2
